restaurant_id,name,address,coordinates,inserted_at_timestamp,location,rating,review_count,zip_code,cuisine
PqqnNrUtU7XTKQvUM4cyqQ,Bar Verde,"""['65 2nd Ave', 'New York, NY 10003']""","""{'latitude': 40.7260849061034, 'longitude': -73.9897361397743}""",2024-02-19 14:01:18.486628,"""{'address1': '65 2nd Ave', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['65 2nd Ave', 'New York, NY 10003']}""",4.4,455,10003,Italian
XaEFFUabnbH8ZF7ccmSAlQ,South Of The Clouds,"""['16 W 8th St', 'New York, NY 10011']""","""{'latitude': 40.73264, 'longitude': -73.99752}""",2024-02-19 14:01:18.131596,"""{'address1': '16 W 8th St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10011', 'country': 'US', 'state': 'NY', 'display_address': ['16 W 8th St', 'New York, NY 10011']}""",3.9,254,10011,Italian
2vVL7xcduF10PN17h6FQaA,Bad Hombre,"""['29 Second Ave', 'New York, NY 10003']""","""{'latitude': 40.724695, 'longitude': -73.990888}""",2024-02-19 14:01:33.657712,"""{'address1': '29 Second Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['29 Second Ave', 'New York, NY 10003']}""",5.0,5,10003,Italian
iu1TLnNH13AdBDg_LmnuHQ,Lunar,"""['12 E 37th St', 'New York, NY 10016']""","""{'latitude': 40.74981466503257, 'longitude': -73.98231633276964}""",2024-02-19 14:01:10.223053,"""{'address1': '12 E 37th St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10016', 'country': 'US', 'state': 'NY', 'display_address': ['12 E 37th St', 'New York, NY 10016']}""",4.6,14,10016,Italian
0Tvwk0hvgaY0QVIsZGTZKQ,Antica Ristorante,"""['8 Stone St', 'New York, NY 10004']""","""{'latitude': 40.7039355145338, 'longitude': -74.0121731758117}""",2024-02-19 14:01:02.331652,"""{'address1': '8 Stone St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10004', 'country': 'US', 'state': 'NY', 'display_address': ['8 Stone St', 'New York, NY 10004']}""",4.3,573,10004,Italian
oe8GEFE4QLFAKt87y7zcgA,Very Fresh Noodles,"""['409 W 15th St', 'New York, NY 10011']""","""{'latitude': 40.74207, 'longitude': -74.00565}""",2024-02-19 14:01:10.743985,"""{'address1': '409 W 15th St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10011', 'country': 'US', 'state': 'NY', 'display_address': ['409 W 15th St', 'New York, NY 10011']}""",4.4,1521,10011,Italian
h37t9rA06Sr4EetJjKrfzw,Don Angie,"""['103 Greenwich Ave', 'New York, NY 10014']""","""{'latitude': 40.73778, 'longitude': -74.00197}""",2024-02-19 14:01:02.423706,"""{'address1': '103 Greenwich Ave', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10014', 'country': 'US', 'state': 'NY', 'display_address': ['103 Greenwich Ave', 'New York, NY 10014']}""",4.5,847,10014,Italian
4zw8vEJNc4mcHh2ARzj2gw,Osteria Brooklyn,"""['458 Myrtle Ave', 'Brooklyn, NY 11205']""","""{'latitude': 40.693154, 'longitude': -73.967177}""",2024-02-19 14:01:02.047160,"""{'address1': '458 Myrtle Ave', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11205', 'country': 'US', 'state': 'NY', 'display_address': ['458 Myrtle Ave', 'Brooklyn, NY 11205']}""",4.4,266,11205,Italian
4FD0TAxe70nb3ngk3sXF9Q,Uluh,"""['152 2nd Ave', 'Ste A', 'New York, NY 10003']""","""{'latitude': 40.729354, 'longitude': -73.98665}""",2024-02-19 14:01:03.111972,"""{'address1': '152 2nd Ave', 'address2': 'Ste A', 'address3': '', 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['152 2nd Ave', 'Ste A', 'New York, NY 10003']}""",4.4,947,10003,Italian
mhrLDFTxUzW2koRAzjlt5g,Chavela's,"""['736 Franklin Ave', 'Brooklyn, NY 11238']""","""{'latitude': 40.673484, 'longitude': -73.957267}""",2024-02-19 14:01:18.977375,"""{'address1': '736 Franklin Ave', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11238', 'country': 'US', 'state': 'NY', 'display_address': ['736 Franklin Ave', 'Brooklyn, NY 11238']}""",3.9,1303,11238,Italian
CFR-HzVHKWRMpMAR3LAhzg,Montesacro Pinseria Brooklyn,"""['432 Union Ave', 'Brooklyn, NY 11211']""","""{'latitude': 40.71338, 'longitude': -73.95136}""",2024-02-19 14:01:02.851701,"""{'address1': '432 Union Ave', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11211', 'country': 'US', 'state': 'NY', 'display_address': ['432 Union Ave', 'Brooklyn, NY 11211']}""",4.4,277,11211,Italian
Hb-eDht12T4kjNtsa0y7vA,Mexi,"""['149 N 9th St', 'Brooklyn, NY 11249']""","""{'latitude': 40.719315, 'longitude': -73.95669}""",2024-02-19 14:01:18.698723,"""{'address1': '149 N 9th St', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11249', 'country': 'US', 'state': 'NY', 'display_address': ['149 N 9th St', 'Brooklyn, NY 11249']}""",4.4,8,11249,Italian
ry7XCoXXxS0DxRmzZLFybw,Taqueria Gramercy,"""['218 3rd Ave', 'New York, NY 10003']""","""{'latitude': 40.7363, 'longitude': -73.98531}""",2024-02-19 14:01:33.310366,"""{'address1': '218 3rd Ave', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['218 3rd Ave', 'New York, NY 10003']}""",3.9,161,10003,Italian
TXLtPStqbC3acOpoHWDfYQ,SOL Mexican Cocina,"""['220 5th Ave', 'New York, NY 10001']""","""{'latitude': 40.743791, 'longitude': -73.988494}""",2024-02-19 14:01:33.639719,"""{'address1': '220 5th Ave', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10001', 'country': 'US', 'state': 'NY', 'display_address': ['220 5th Ave', 'New York, NY 10001']}""",4.1,81,10001,Italian
1HPdyg0OLRkjHeixVmbu0Q,Cocina Del Sur,"""['40 W 38th St', 'New York, NY 10018']""","""{'latitude': 40.7515296936035, 'longitude': -73.9846572875977}""",2024-02-19 14:01:33.675270,"""{'address1': '40 W 38th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10018', 'country': 'US', 'state': 'NY', 'display_address': ['40 W 38th St', 'New York, NY 10018']}""",4.1,158,10018,Italian
vyKBwzRdNX4yiJDIFv37iw,Oxomoco,"""['128 Greenpoint Ave', 'Brooklyn, NY 11222']""","""{'latitude': 40.7299099, 'longitude': -73.95548}""",2024-02-19 14:01:33.207302,"""{'address1': '128 Greenpoint Ave', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11222', 'country': 'US', 'state': 'NY', 'display_address': ['128 Greenpoint Ave', 'Brooklyn, NY 11222']}""",4.2,632,11222,Italian
ZFaIpks0AmQKdFvqYbj0QQ,Barbalu - Brooklyn,"""['68 Bergen St', 'Brooklyn, NY 11201']""","""{'latitude': 40.68675727907743, 'longitude': -73.99101547782092}""",2024-02-19 14:01:01.798619,"""{'address1': '68 Bergen St', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11201', 'country': 'US', 'state': 'NY', 'display_address': ['68 Bergen St', 'Brooklyn, NY 11201']}""",4.4,96,11201,Italian
sBCJYLPNJuagg-aJ3Y_ozQ,Cheli,"""['19 St Marks Pl', 'Ste 23', 'New York, NY 10003']""","""{'latitude': 40.72925, 'longitude': -73.9886}""",2024-02-19 14:01:11.309349,"""{'address1': '19 St Marks Pl', 'address2': 'Ste 23', 'address3': None, 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['19 St Marks Pl', 'Ste 23', 'New York, NY 10003']}""",4.2,348,10003,Italian
qBGKigOGn_flCx1apxPzlA,Piccola Cucina Osteria,"""['196 Spring St', 'New York, NY 10012']""","""{'latitude': 40.72503127956934, 'longitude': -74.0032820972858}""",2024-02-19 14:01:02.351750,"""{'address1': '196 Spring St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10012', 'country': 'US', 'state': 'NY', 'display_address': ['196 Spring St', 'New York, NY 10012']}""",4.3,815,10012,Italian
Be1Y-vAEMgo7lqL5alXgDA,Taverna Di Bacco,"""['175 Ludlow St', 'New York, NY 10002']""","""{'latitude': 40.72191, 'longitude': -73.98768}""",2024-02-19 14:01:02.945200,"""{'address1': '175 Ludlow St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10002', 'country': 'US', 'state': 'NY', 'display_address': ['175 Ludlow St', 'New York, NY 10002']}""",4.3,359,10002,Italian
2u8T56A4qu-MjeuT-v7s_g,Casa Bocado,"""['341 Broome St', 'New York, NY 10013']""","""{'latitude': 40.71958, 'longitude': -73.99484}""",2024-02-19 14:01:18.523988,"""{'address1': '341 Broome St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10013', 'country': 'US', 'state': 'NY', 'display_address': ['341 Broome St', 'New York, NY 10013']}""",4.5,125,10013,Italian
BbMUXd69i0tlWS2aoppwaQ,El Camion,"""['194 Ave A', 'New York, NY 10009']""","""{'latitude': 40.7291717528508, 'longitude': -73.98111043269348}""",2024-02-19 14:01:18.643030,"""{'address1': '194 Ave A', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10009', 'country': 'US', 'state': 'NY', 'display_address': ['194 Ave A', 'New York, NY 10009']}""",3.9,774,10009,Italian
DQuwci5xgJxXx7dxxp9FBA,Taqueria St. Marks Place,"""['79 St Marks Pl', 'New York, NY 10003']""","""{'latitude': 40.72788723475379, 'longitude': -73.98557625767012}""",2024-02-19 14:01:33.329333,"""{'address1': '79 St Marks Pl', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['79 St Marks Pl', 'New York, NY 10003']}""",4.2,491,10003,Italian
Lp8vAE5nHSt5zbu-lSGK8A,Hop Lee Restaurant,"""['16 Mott St', 'New York, NY 10013']""","""{'latitude': 40.71422, 'longitude': -73.99864}""",2024-02-19 14:01:10.707296,"""{'address1': '16 Mott St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10013', 'country': 'US', 'state': 'NY', 'display_address': ['16 Mott St', 'New York, NY 10013']}""",3.9,392,10013,Italian
83zDAk03lFXkgImgkLhT9w,Chi Restaurant & Bar,"""['492 9th Ave', 'New York, NY 10018']""","""{'latitude': 40.75547, 'longitude': -73.99439}""",2024-02-19 14:01:03.229337,"""{'address1': '492 9th Ave', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10018', 'country': 'US', 'state': 'NY', 'display_address': ['492 9th Ave', 'New York, NY 10018']}""",4.3,127,10018,Italian
